#Id	Names	Type	Con	RA	Dec	Mag	Size	Sep	PA	Class	Distance	Notes
G76	G76	GCl	And	00h 41m 06s	40° 36' 00"	14.2	6"				2.5mly	glob in Andromeda galaxy
Gamma And	Gamma And/Almach	Double	And	02h 03m 54s	42° 20' 00"	2.3, 5.0		9.4	63			!! yellow, blue
Gamma Ari	Gamma Ari/Mesarthim	Double	Ari	01h 53m 30s	19° 17' 00"	4.6		7.8				!
Gamma Cet	Gamma Cet	Double	Cet	02h 43m 18s	03° 14' 00"	3.5, 6.2		2.1	298			!
Gamma Del	Gamma Del	Double	Del	20h 46m 42s	16° 07' 00"	4.4, 5.0		9	266			! yellow, blue
Gamma Leo	Gamma Leo/Algieba	Double	Leo	10h 20m 00s	19° 51' 00"	2.4, 3.6		4.6	126			!!
Gamma Lep	Gamma Lep	Double	Lep	05h 44m 30s	-22° 27' 00"	3.6, 6.3		95	350			
Gamma Vel	Gamma Vel	Double	Vel	08h 09m 24s	-47° 20' 00"	1.8		41				! B-m4.3, C-mag8, 62"
Gamma Vir	Gamma Vir/Porrima	Double	Vir	12h 41m 42s	-01° 27' 00"	3.5, 3.5		1.9	10			
Gas Pump Handle	Gas Pump Handle	Ast	UMa	13h 38m 00s	52° 50' 00"	7.5 - 9.5	45'					5 stars make up the basic shape, and 3 more stars create the nozzle. Located between Mizar and Alkaid.
Golf Putter	Golf Putter	Ast	And	01h 52m 00s	37° 30' 00"	7.0	95' x 25'					Line of stars with two brighter ones for the clubhead. NGC 752 is the ball.
Great Square of Pegasus	Great Square of Pegasus	Ast	Peg	23h 40m 00s	23° 00' 00"	2.0	17° x 15°					Formed by the stars Alpha, Beta, Gamma Pegasi, and Alpha Andromedae.
Greg's 3	Greg's 3	Ast	Leo	09h 38m 00s	15° 17' 00"		16' x 12'					9 stars form a number '3'
GY Mon	GY Mon/HIP 33059	Carbon	Mon	06h 53m 11s	-04° 34' 34"	8.1 - 9.0				C6 (N3/R8)		
H 119	H 119	Double	PsA	22h 39m 42s	-28° 20' 00"	A=6.4, B=7.5, C=8.6		AB=3.1, AC=86.5				
H 1647	H 1647	Double	Peg	21h 29m 00s	22° 11' 00"	A=6.1, B=10.2, C=10.6		AB=40.3, AC=41.5				
H 2866	H 2866	Double	Sgr	19h 23m 24s	-18° 00' 00"	A=8.7, B=8.7, C=9.6		AB=23, AC=35				
H 3053	H 3053	Double	Cas	00h 02m 30s	66° 06' 00"	5.9		15				! yellow, blue
H 3945	H 3945	Double	CMa	07h 16m 36s	-23° 18' 00"	4.8		26.6				! orange, white
H 4926	H 4926	Double	Sco	17h 14m 30s	-39° 46' 00"	A=6.7, B=10.1, C=11.4		AB=14.2, AC=16.4				
H 5082	H 5082	Double	Sgr	19h 03m 12s	-19° 15' 00"	A=6.2, B=9.0, C=10.8		AB=7.5, AC=19.9				
H 5311	H 5311	Double	PsA	21h 59m 30s	-29° 03' 00"	A=7.1, B=10.6, C=10.9		AB=40.3, AC=44.8				
H III 80	H III 80	Double	Cet	02h 26m 20s	-15° 20' 28"	A=5.9, B=9.1, C=10.5		AB=12.1, AC=109.6	AB=295, AC=31			
H N 40	H N 40	Double	Sgr	18h 02m 24s	-23° 02' 00"	A=7.6, B=8.7, C=10.4		AB=6.1, AC=11				
Harvard 20	Harvard 20	OCl	Sge	19h 53m 12s	18° 21' 00"	7.7	8'			III 2 p	5.02kly	28 stars
HD 196944	HD 196944	Ast	Aqr	20h 41m 00s	-06° 49' 00"	6.6	23'					Christmas Tree shape, with tip pointed south. Total of 20 stars.
HDO 198	HDO 198	Double	CMa	06h 58m 42s	-31° 00' 00"	A=6.4, B=10.2, C=11.4		AB=40.1, AC=70				
HDO 204	HDO 204	Double	Pyx	08h 45m 57s	-32° 09' 50"	A=7.0, B=11.9, C=11.8		AB=15.8, AC=20.3	AB=326, AC=277			
Herman's Cross	Herman's Cross/Terebellum	Ast	Sgr	20h 00m 00s	-27° 00' 00"	4.0	2°					Stars create a cross. Omega, 59, 62, and 60 Sagittarii.
HJ 1054	HJ 1054	Double	Cas	00h 49m 39s	60° 45' 32"	A=8.1, B=11.8, C=9.6, D=12.0		AB=9, AC=92.3, CD=26.8	AB=183, AC=61, CD=239			
HJ 1823	HJ 1823	Double	Lac	22h 51m 49s	41° 18' 46"	A=7.1, B=11.5, C=8.1, D=11.3, E=8.9		AB=18.7, AC=81.9, AE=119, CD=5	AB=264, AC=337, AD=338			
HJ 2200 ABC	HJ 2200 ABC	Double	Cam	03h 47m 21s	71° 19' 56"	A=4.6, B=12.4, C=9.0		AB=56.3, AC=107.3	AB=247, AC=86			
HJ 2617+BKO 114	HJ 2617+BKO 114	Double	CVn	12h 40m 37s	40° 17' 16"	A=8.4, B=9.6, C=11.0, D=13.8		AB=5.8, AC=172.1, AD=43.5	AB=3, AC=176, AD=344			
HJ 3518	HJ 3518	Double	For	02h 38m 52s	-28° 09' 57"	A=9.4, B=11.2, C=11.4		AB=13.3, AC=30.7	AB=16, AC=200			
HJ 3644 AB,C AB,D	HJ 3644 AB,C AB,D	Double	Eri	04h 21m 31s	-25° 43' 42"	AB=6.1, C=12.0, D=8.2		AB,C=41, AB,D=44	1			
HJ 3677 AB, DAW 81 BC	HJ 3677 AB, DAW 81 BC	Double	Eri	04h 40m 04s	-29° 34' 40"	A=9.8, B=10.2, C=11.2		AB=10.6, BC=8.5	354			
HJ 3780	HJ 3780	Double	Lep	05h 39m 16s	-17° 50' 58"	A=6.7, B=7.8, C=8.9		AB=0.5, AC=89.3	AB=160, AC=137			
HJ 3858	HJ 3858	Double	Col	06h 25m 30s	-35° 03' 50"	A=6.4, B=7.6, C=8.2		AB=134.4, BC=3.9	48			
HJ 3875+BU 755	HJ 3875+BU 755	Double	Col	06h 35m 24s	-36° 46' 47"	A=5.9, B=6.9, C=11.5		AB=1.5, AC=21	AB=260, AC=302			
HJ 4106+LDS 223	HJ 4106+LDS 223	Double	Pyx	08h 31m 29s	-36° 41' 36"	A=7.9, B=9.9, C=10.4		AB=4.4, AC=47.7	AB=305, AC=219			
HJ 4199	HJ 4199	Double	Pyx	09h 19m 58s	-27° 46' 35"	A=8.3, B=9.5, C=8.2		AB=11.7, AC=6.8	AB=112, AC=269			
HJ 4935, Gliese 667	HJ 4935, Gliese 667	Double	Sco	17h 18m 57s	-34° 59' 23"	A=6.3, B=7.3, C=10.2, D=21.5		AB=0.5, AC=33.1, AD=65	AB=23, AC=141, AD=287			
HJ 658	HJ 658	Double	Cet	02h 54m 25s	09° 46' 22"	A=9.7, BC=11.2, D=10.7		A,BC=18, AD=126.6	308			
HK Lyr	HK Lyr/HIP 91774	Carbon	Lyr	18h 42m 50s	36° 57' 30"	7.8 - 9.6				C6(N4)		
Home Plate	Home Plate	Ast	And	00h 07m 00s	40° 35' 00"	6.0 - 7.0	44' x 31'					5 stars shaped like a pentagon
Horseshoe	Horseshoe	Ast	Cyg	21h 08m 00s	47° 14' 00"	7.0 - 8.0	25'					U-shape asterism and about 20' long. There are a few double stars in the Horseshoe, under which two of magnitude 7 and 8. Observe this asterism with small telescopes.
HU 227	HU 227	Double	Hya	09h 09m 01s	-14° 11' 03"	A=7.0, B=10.0, C=11.0		AB=2.5, AC=26.9	AB=223, AC=325			
IC 10	IC 10	Gal	Cas	00h 20m 24s	59° 18' 00"	13.3	6.4' x 5.3'			Ir+	2.8mly	
IC 1276	IC 1276	GCl	Ser	18h 10m 46s	-07° 12' 42"	10.3	7.1'			b		
IC 1295	IC 1295	PN	Sct	18h 54m 36s	-08° 50' 00"	12.7	1.5'					annular, owl eyes
IC 1310	IC 1310	OCl	Cyg	20h 10m 00s	34° 58' 00"		4'			II 1 p n	6.85kly	12 stars
IC 1434	IC 1434/Cr 445	OCl	Lac	22h 10m 30s	52° 50' 00"	9.0	7'			II 1 p?	9.895kly	40 stars
IC 1805	IC 1805/Cr 26/The Heart Nebula/The Running Dog Nebula/Valentine Nebula	EN+OCl	Cas	02h 32m 42s	61° 27' 00"	6.5	20'			III 3 p n	6.15kly	62 stars
IC 2149	IC 2149	PN	Aur	05h 56m 24s	46° 06' 00"	10.0	12" x 6"			3b(2)	3.6kly	mag 11.6 central star, very small
IC 2163	IC 2163	Gal	CMa	06h 16m 30s	-21° 23' 00"	11.6	3' x 1.2'			Sbc pec.	81mly	colliding with 2207
IC 289	IC 289	PN	Cas	03h 10m 18s	61° 19' 00"	12.3	34"					dim oval smudge; use nebula filter!
IC 349	IC 349	RN	Tau	03h 46m 18s	23° 56' 00"		30'			R	450ly	Van den Bergh 22 in Pleiades
IC 3568	IC 3568/Theoretician's Nebula/Lemon Slice Nebula/Baby Eskimo	PN	Cam	12h 33m 06s	82° 34' 00"	10.6	18"			2+2a	9kly	very small
IC 410	IC 410/The Tadpoles	EN	Aur	05h 22m 42s	33° 25' 00"	7.5	30'			E	11kly	
IC 418	IC 418/Spirograph Nebula/Raspberry Nebula	PN	Lep	05h 27m 30s	-12° 42' 00"	10.7	13.8" x 10.8"			4	3.6kly	Small, round, pink, central star, the Raspberry
IC 4329	IC 4329	Gal	Cen	13h 49m 06s	-30° 18' 00"	12.8	90" x 30"					IC4329 galaxy group, 9 galaxies in 25' field
IC 434	IC 434	DN	Ori	05h 41m 00s	-02° 24' 00"		3'					!? Horsehead Nebula (B33)
IC 4406	IC 4406	PN	Lup	14h 22m 24s	-44° 09' 00"	10.6	1.667' x 0.617'					! elliptical
IC 4593	IC 4593/White-eyed Pea Nebula	PN	Her	16h 11m 42s	12° 04' 00"	11.0	12.6" x 10.2"			2(2)	3.4kly	
IC 4665	IC 4665/Poseidon's Trident	OCl	Oph	17h 46m 12s	05° 43' 00"	4.2	70'			III 2 m	1.15kly	57 stars
IC 4756	IC 4756/Tweedledee Cluster	OCl	Ser	18h 38m 54s	05° 26' 00"	4.6	40'			III 2 m	1.58kly	466 stars
IC 4776	IC 4776	PN	Sgr	18h 45m 48s	-33° 21' 00"	12.5	7.8" x 6"			2a	20.5kly	
IC 5148	IC 5148	PN	Gru	21h 59m 30s	-39° 23' 00"	12.9	1.9'					annular
IC 5271	IC 5271	Gal	PsA	22h 58m 00s	-33° 45' 00"	11.6	2.6' x 0.9'			Sb	77mly	
Inchworm	Inchworm	Ast	Lyn	09h 05m 00s	38° 16' 00"	4.0	46'					11 stars total. 2 stars form a curve in the middle, one of which is HD 77912.
Iota Boo	Iota Boo	Double	Boo	14h 16m 12s	51° 22' 00"	4.8, 7.4		38.7	32			
Iota Cas	Iota Cas/STF 262	Double	Cas	02h 29m 03s	67° 24' 08"	A=4.6, B=6.9, C=9.0, D=8.5		AB=2.6, AC=6.7, AD=210	AB=227, AC=117, AD=10			!
Iota Cnc	Iota Cnc	Double	Cnc	08h 46m 42s	28° 46' 00"	4.1, 6.0		31	305			! yellow, blue
Iota Ori	Iota Ori	Double	Ori	05h 35m 24s	-05° 55' 00"	A=2.8, B=7.7, C=9.8		AB=11.4, AC=49.4	AB=142, AC=143			
Iota Tri	Iota Tri/6 Tri	Double	Tri	02h 12m 24s	30° 18' 00"	5.3, 6.7		3.8	69			! yellow, blue
Iota2 Cnc	Iota2 Cnc	Double	Cnc	08h 54m 12s	30° 35' 00"	A=6.1, B=6.4, C=9.2		AB=1.5, AC=54.5				
Jaws	Jaws/Ty's Oil Can	Ast	Vir	12h 39m 00s	-11° 25' 00"	9.0 - 11.5	30'					3 brightest stars of this asterism form the jaws of the shark with 6 more that curve to make the body. Very close to M104.
JC 16	JC 16	Double	Crt	11h 29m 38s	-24° 27' 50"	A=5.8, B=8.6, C=8.9		AB=8.4, AC=169.5	AB=82, AC=116			
JE1	JE1	PN	Lyn	07h 57m 48s	53° 25' 00"	12.1	7'					!? low power and filter! faint Helix
Job's Coffin	Job's Coffin	Ast	Del	20h 40m 00s	15° 00' 00"	4.0	3° x 2°					Formed by the stars Alpha, Beta, Gamma, and Delta Delphinus.
Jones1	Jones1	PN	Peg	23h 35m 54s	30° 27' 00"	12.1	5.2'					Horseshoe shaped
k Pup	k Pup/HR2948	Double	Pup	07h 38m 48s	-26° 48' 00"	4.4, 4.6		10.2	317			k, not kappa
Kangaroo	Kangaroo	Ast	Boo	15h 00m 00s	33° 00' 00"	7.0 - 11.0	113' x 53'					19 stars total.  8 stars make a slight 's' shape for the back and tail, 6 more make the body and head, 1 for the nose, 1 for the arm, and 3 for the leg.
Kappa And	Kappa And	Double	And	23h 40m 24s	44° 20' 00"	A=4.1, B=11.3, C=11.3		AB=47.8, AC=113.3				
Kappa Boo	Kappa Boo	Double	Boo	14h 13m 30s	51° 47' 00"	4.5, 6.6		13.5	234			
Kappa Her	Kappa Her	Double	Her	16h 08m 06s	17° 03' 00"	5.1, 6.2		25.7	11			
Kappa Pup	Kappa Pup	Double	Pup	07h 38m 48s	-26° 47' 00"	4.5	9.8"					B-m4.6, Markeb
Kemble's Cascade	Kemble's Cascade	Ast	Cam	03h 57m 00s	63° 00' 00"	5.0 - 10.0	2°					a beautiful cascade of faint stars tumbling from the northwest down to the open cluster NGC 1502
Kemble's Kite	Kemble's Kite/Measuring Scoop	Ast	Cas	03h 27m 00s	71° 50' 00"	8.5	75'					Diamond shaped kite with tail.
Keystone	Keystone	Ast	Her	17h 00m 00s	33° 00' 00"	4.0	7° x 8°					Formed by the stars Epsilon, Zeta, Eta, and Pi Herculis.
King 10	King 10	OCl	Cep	22h 55m 00s	59° 10' 00"		4'			II 1 m	11kly	40 stars
Lambda Ari	Lambda Ari	Double	Ari	01h 57m 54s	23° 36' 00"	4.8, 6.6		37.1	48			
Lambda Ori	Lambda Ori/Meissa	Double	Ori	05h 35m 06s	09° 56' 00"	A=3.5, B=5.5, C=10.7, D=9.6, E=9.2		AB=4.3, AC=29.3, AD=78.5, AE=151	AB=44, AC=185, AD=272, AE=279			! yellowish, purple?
Lambda-Lambda	Lambda-Lambda	Ast	Ori	05h 35m 12s	09° 36' 48"	3.0	50' x 20'					Shape resembles the Greek letter lambda; central star is Lambda Orion (Meis).
Leaping Minnow	Leaping Minnow/Mel 31	Ast	Aur	05h 19m 00s	33° 40' 00"	6.0	75'					Includes stars 16, 18, and 19 Aurigae. Looks like a mini Delphinus.
Leiter 4	Leiter 4	Ast	Sge	20h 01m 00s	20° 03' 00"	6.0	7' x 5'					5 curved stars as a tail, with 6 stars in a square at the end.
Letter "D"	Letter "D"	Ast	Eri	03h 39m 00s	-01° 45' 00"	9.5	30'					Composed of 8 stars, 6 degrees north of "Letter F" asterism.  Top of asterism faces west.
Letter "F"	Letter "F"	Ast	Eri	03h 38m 00s	-07° 45' 00"	8.0 - 11.0	60'					Backwards 'F'.Located 2 degrees south of star 21 Eridani.
Levy 157	Levy 157/Cane	Ast	Cyg	19h 48m 00s	37° 43' 00"	9.0	10' x 20'					7 stars in the shape of a cane.
Levy 384	Levy 384	Ast	Pup	08h 15m 00s	-13° 58' 00"		2'					Compact asterism. Tight group of stars, no shape.
Little Leo	Little Leo/Lovett 1	Ast	Gem	07h 50m 00s	28° 47' 00"	6.0 - 7.0	60' x 35'					Looks similar to constellation Leo. 8 stars in the shape of a '7', 2 stars in the middle for body, 2 more angled for the end.
Little Orion	Little Orion/Leiter 9	Ast	Cyg	20h 56m 00s	43° 34' 00"	10.0 - 11.0	45'					Looks like the main body of the Orion constellation.
