#id	flamsteed	bayer	con 	ra	dec	mag
4548				115141.6	-305006	5.85
4549				115151.2	-651222	4.90
4550				115258.8	+374307	6.45
4551				115210.1	-565916	5.57
4552		Bet	Hya	115254.6	-335429	4.28
4553				115326.8	-350400	6.17
4554	64	Gam	UMa	115349.8	+534141	2.44
4555				115350.3	+003307	6.30
4556				115411.5	-572436	6.06
4557				115425.8	-374456	6.46
4558				115442.5	-254250	5.30
4559	6		Vir	115503.1	+082638	5.58
4560	65		UMa	115505.7	+462837	6.54
4561	65		UMa	115511.2	+462811	7.03
4562				115514.1	+364523	6.49
4563				115459.8	-631644	5.91
4564	95		Leo	115540.5	+153848	5.53
4565				115540.1	-282837	5.93
4566	66		UMa	115558.4	+563555	5.84
4567	30	Eta	Crt	115600.9	-170903	5.18
4568				115554.7	-394121	6.13
4569				115653.2	+613257	6.22
4570				115643.9	-470421	6.26
4571				115703.7	-331855	6.21
4572				115714.6	+402037	6.62
4573				115740.1	-622656	5.57
4574				115807.2	+321626	6.42
4575				115820.6	+612753	6.76
4576				115815.2	-561902	5.44
4577				115820.3	-405650	6.79
4578				115847.7	-642021	5.61
4579				115854.4	-255432	6.43
4580				115903.4	+003150	6.17
4581				115917.6	+331003	5.96
4582				115910.9	-514148	6.05
4583		Eps	Cha	115937.3	-781319	4.91
4584				115957.2	+340206	6.50
4585	7		Vir	115956.9	+033919	5.37
4586				120018.6	+805111	6.17
4587				120044.5	-102646	5.55
4588				120042.5	-215014	6.28
4589	8	Pi	Vir	120052.4	+063651	4.66
4590				120051.2	-193932	5.26
4591				120101.8	-014605	6.31
4592				120129.0	-573013	6.16
4593				120139.5	+360231	5.59
4594	67		UMa	120206.8	+430244	5.21
4595				120220.1	-853754	6.05
4596				120228.6	-712920	6.42
4597				120237.7	-691132	5.89
4598				120251.6	-074101	6.22
4599		The1	Cru	120301.5	-631846	4.33
4600				120339.6	-422603	5.15
4601				120344.3	-741250	6.44
4602	2		Com	120416.6	+212733	5.87
4603		The2	Cru	120419.2	-630956	4.72
4604				120438.7	-681945	5.35
4605		Kap	Cha	120446.5	-763109	5.04
4606				120428.1	+853514	6.27
4607				120457.1	-605809	5.96
4608	9	Omi	Vir	120512.5	+084359	4.12
4609				120515.1	+765421	5.80
4610				120539.7	+625559	6.13
4611				120553.2	-653250	6.33
4612				120556.7	-354138	6.23
4613				120559.8	-030754	6.37
4614				120619.8	-683903	6.23
4615				120623.1	-654233	6.06
4616		Eta	Cru	120652.9	-643649	4.15
4617				120749.8	-752201	5.18
4618				120805.2	-503941	4.47
4619				120804.8	-504548	6.37
4620				120814.7	-484134	5.34
4621		Del	Cen	120821.5	-504321	2.60
4622				120824.6	-605050	6.22
4623	1	Alp	Crv	120824.8	-244344	4.02
4624				120853.8	-441934	5.75
4625				120854.5	-411353	5.48
4626	10		Vir	120941.3	+015352	5.95
4627				120947.3	+743941	6.35
4628				121002.5	-344218	6.17
4629	11		Vir	121003.4	+054825	5.72
4630	2	Eps	Crv	121007.5	-223711	3.00
4631				121033.8	-375213	6.06
4632	3		Com	121031.6	+164833	6.39
4633				121046.1	+271653	6.01
4634				121104.9	-611639	6.08
4635	3		Crv	121103.9	-233609	5.46
4636				121102.9	-452522	6.61
4637				121131.4	-512134	6.23
4638		Rho	Cen	121139.1	-522207	3.96
4639				121100.0	+814236	6.00
4640	4		Com	121151.2	+255213	5.66
4641	68		UMa	121144.9	+570316	6.43
4642				121201.2	+283210	6.49
4643	5		Com	121209.3	+203231	5.57
4644				121222.0	-625703	5.92
4645				121246.8	-700907	6.17
4646				121211.9	+773659	5.14
4647				121313.0	-340732	6.5 
4648				121325.3	-385545	5.76
4649				121355.7	-783425	6.35
4650	12		Vir	121325.9	+101544	5.85
4651				121336.7	-334734	6.33
4652				121402.6	-454326	5.31
4653				121416.8	-642431	6.22
4654				121443.4	+532605	6.16
4655				121459.6	-205039	5.83
4656		Del	Cru	121508.7	-584456	2.80
4657				121510.6	-101845	6.11
4658				121530.5	-415447	6.26
4659				121508.5	+701200	5.71
4660	69	Del	UMa	121525.6	+570157	3.31
4661				121547.0	-232113	6.54
4662	4	Gam	Crv	121548.4	-173231	2.59
4663	6		Com	121600.2	+145356	5.10
4664				121623.5	-723653	6.22
4665				121541.4	+723303	6.29
4666	2		CVn	121607.6	+403937	5.66
4667	7		Com	121620.5	+235643	4.95
4668				121630.1	+330341	5.00
4669				121706.0	-654134	6.06
4670				121703.3	-164137	6.05
4671		Eps	Mus	121734.1	-675739	4.11
4672				121729.5	+531128	5.81
4673				121730.5	+285614	5.70
4674		Bet	Cha	121820.7	-791844	4.26
4675				121747.3	-360538	6.15
4676				121744.3	+150839	6.34
4677				121809.1	-035716	6.99
4678				121809.6	-035655	6.54
4679		Zet	Cru	121826.1	-640011	4.04
4680				121831.6	+301457	6.23
4681	13		Vir	121840.3	-004714	5.90
4682				121859.7	-550835	5.00
4683				121651.4	+862610	6.33
4684				121902.1	+260028	6.48
4685	8		Com	121919.1	+230205	6.27
4686				121520.3	+874200	6.28
4687				121849.9	+750938	5.38
4688	9		Com	121929.6	+280925	6.33
4689	15	Eta	Vir	121954.4	-004001	3.89
4690	3		CVn	121948.7	+485903	5.29
4691				122010.7	-221032	5.97
4692				122028.0	-655034	6.21
4693				122019.7	+263710	5.54
4694				122017.7	+260007	6.15
4695	16		Vir	122021.0	+031845	4.96
4696	5	Zet	Crv	122033.7	-221257	5.21
4697	11		Com	122043.0	+174734	4.74
4698				122041.3	+270317	7.13
4699				122055.7	-133356	5.14
4700		Eps	Cru	122121.6	-602404	3.59
